item_id,category,brand,price,sentiment_score,popularity_score,price_norm,sentiment_norm,popularity_norm
I0049,books,UrbanLeaf,10.95,0.716,0.125,0.04101851851851851,0.60056258790436,0.12332112332112333
I0050,beauty,UrbanLeaf,15.33,0.7010000000000001,0.115,0.08157407407407406,0.579465541490858,0.11111111111111113
I0051,fashion,Pulse,24.93,0.607,0.373,0.17046296296296293,0.4472573839662447,0.42612942612942617
I0052,beauty,Nova,30.37,0.934,0.362,0.22083333333333333,0.9071729957805906,0.41269841269841273
I0053,books,Pulse,18.65,0.745,0.249,0.1123148148148148,0.6413502109704642,0.27472527472527475
I0054,beauty,UrbanLeaf,35.21,0.667,0.323,0.26564814814814813,0.5316455696202532,0.3650793650793651
I0055,books,Aster,14.43,0.875,0.322,0.07324074074074073,0.8241912798874823,0.3638583638583639
I0056,books,Nova,21.96,0.606,0.146,0.14296296296296296,0.4458509142053445,0.14896214896214896
I0057,beauty,Orion,46.42,0.791,0.304,0.36944444444444446,0.7060478199718706,0.3418803418803419
I0058,home,UrbanLeaf,18.03,0.771,0.47300000000000003,0.10657407407407408,0.6779184247538678,0.5482295482295483
I0059,books,Pulse,24.91,0.758,0.376,0.17027777777777775,0.6596343178621659,0.4297924297924298
I0060,fashion,ZenCo,48.07,0.742,0.151,0.38472222222222224,0.6371308016877636,0.15506715506715507
I0061,books,ZenCo,17.75,0.625,0.234,0.10398148148148147,0.47257383966244726,0.25641025641025644
I0062,beauty,ZenCo,23.59,0.8150000000000001,0.304,0.15805555555555556,0.739803094233474,0.3418803418803419
I0063,beauty,Nova,17.91,0.875,0.47300000000000003,0.10546296296296297,0.8241912798874823,0.5482295482295483
I0064,sports,Nova,28.05,0.641,0.34500000000000003,0.19935185185185184,0.49507735583684953,0.391941391941392
I0065,fashion,Nova,45.15,0.521,0.28700000000000003,0.35768518518518516,0.3263009845288326,0.3211233211233212
I0066,sports,UrbanLeaf,22.7,0.8230000000000001,0.216,0.1498148148148148,0.7510548523206751,0.23443223443223443
I0067,fashion,Nova,77.25,0.665,0.28700000000000003,0.6549074074074074,0.5288326300984529,0.3211233211233212
I0068,electronics,ZenCo,16.18,0.66,0.20500000000000002,0.08944444444444445,0.5218002812939522,0.22100122100122105
I0069,books,UrbanLeaf,41.22,0.896,0.375,0.3212962962962963,0.8537271448663853,0.4285714285714286
I0070,home,Nova,26.73,0.365,0.634,0.18712962962962965,0.10689170182841068,0.7448107448107448
I0071,electronics,ZenCo,31.77,0.595,0.32,0.23379629629629628,0.430379746835443,0.36141636141636146
I0072,electronics,Pulse,21.99,1.0,0.748,0.14324074074074072,0.9999999999999999,0.8840048840048841
I0073,electronics,Pulse,25.28,0.545,0.116,0.1737037037037037,0.360056258790436,0.11233211233211235
I0074,electronics,Nova,19.52,0.645,0.212,0.12037037037037036,0.5007032348804501,0.22954822954822957
I0075,sports,ZenCo,25.5,0.7000000000000001,0.32,0.17574074074074075,0.5780590717299579,0.36141636141636146
I0076,books,Pulse,36.2,0.8180000000000001,0.057,0.27481481481481485,0.7440225035161744,0.04029304029304029
I0077,home,Orion,43.74,0.756,0.41600000000000004,0.3446296296296296,0.6568213783403657,0.4786324786324787
I0078,beauty,Pulse,41.4,0.875,0.403,0.32296296296296295,0.8241912798874823,0.46275946275946284
I0079,home,Aster,55.92,0.534,0.374,0.45740740740740743,0.3445850914205345,0.4273504273504274
I0080,home,Nova,16.0,0.681,0.432,0.08777777777777777,0.5513361462728552,0.4981684981684982
I0081,home,Orion,60.65,0.7010000000000001,0.10300000000000001,0.5012037037037036,0.579465541490858,0.09645909645909648
I0082,home,Nova,27.22,0.41300000000000003,0.363,0.19166666666666665,0.1744022503516175,0.41391941391941395
I0083,sports,Aster,17.83,0.483,0.085,0.1047222222222222,0.2728551336146273,0.0744810744810745
I0084,books,ZenCo,27.83,0.8260000000000001,0.037,0.19731481481481478,0.7552742616033755,0.01587301587301587
I0085,electronics,UrbanLeaf,64.61,1.0,0.157,0.5378703703703703,0.9999999999999999,0.1623931623931624
I0086,books,Aster,33.96,0.299,0.062,0.25407407407407406,0.01406469760900142,0.0463980463980464
I0087,electronics,UrbanLeaf,58.68,0.7000000000000001,0.155,0.482962962962963,0.5780590717299579,0.15995115995115997
I0088,beauty,ZenCo,30.05,0.594,0.149,0.21787037037037038,0.4289732770745428,0.15262515262515264
I0089,sports,Pulse,40.79,0.627,0.22,0.3173148148148148,0.47538677918424754,0.23931623931623935
I0090,home,Orion,12.85,0.41200000000000003,0.123,0.0586111111111111,0.1729957805907174,0.1208791208791209
I0091,beauty,ZenCo,42.99,0.592,0.222,0.3376851851851852,0.4261603375527425,0.2417582417582418
I0092,beauty,ZenCo,16.23,0.8140000000000001,0.035,0.0899074074074074,0.7383966244725738,0.013431013431013435
I0093,fashion,UrbanLeaf,35.82,0.616,0.268,0.2712962962962963,0.4599156118143459,0.297924297924298
I0094,sports,Pulse,20.46,0.762,0.843,0.12907407407407406,0.6652601969057664,1.0000000000000002
I0095,sports,UrbanLeaf,11.84,0.886,0.197,0.04925925925925925,0.8396624472573838,0.21123321123321126
I0096,home,UrbanLeaf,36.87,0.675,0.17,0.2810185185185185,0.5428973277074544,0.1782661782661783
I0097,fashion,ZenCo,42.6,0.549,0.041,0.3340740740740741,0.3656821378340366,0.020757020757020763
I0098,books,Pulse,35.06,0.709,0.449,0.2642592592592593,0.590717299578059,0.518925518925519
I0099,fashion,ZenCo,19.36,0.81,0.17,0.11888888888888889,0.7327707454289732,0.1782661782661783
I0100,sports,UrbanLeaf,54.26,0.5670000000000001,0.527,0.44203703703703706,0.39099859353023914,0.6141636141636142
I0101,electronics,UrbanLeaf,48.0,0.773,0.338,0.38407407407407407,0.6807313642756679,0.3833943833943835
I0102,electronics,UrbanLeaf,45.37,0.5690000000000001,0.498,0.3597222222222222,0.3938115330520394,0.5787545787545788
I0103,beauty,ZenCo,51.23,0.537,0.259,0.41398148148148145,0.3488045007032349,0.28693528693528697
I0104,electronics,Aster,41.88,0.799,0.487,0.3274074074074074,0.7172995780590717,0.5653235653235653
I0105,books,Aster,20.28,0.837,0.151,0.1274074074074074,0.770745428973277,0.15506715506715507
I0106,sports,Nova,26.93,0.41400000000000003,0.40700000000000003,0.18898148148148147,0.1758087201125177,0.4676434676434677
I0107,electronics,Orion,14.01,0.914,0.24,0.06935185185185185,0.8790436005625878,0.26373626373626374
I0108,beauty,UrbanLeaf,101.53,0.485,0.212,0.8797222222222222,0.2756680731364276,0.22954822954822957
I0109,home,Aster,70.56,0.78,0.5680000000000001,0.5929629629629629,0.6905766526019691,0.6642246642246643
I0110,sports,Aster,26.64,0.805,0.6900000000000001,0.1862962962962963,0.7257383966244725,0.8131868131868133
I0111,books,Nova,114.52,0.649,0.314,0.9999999999999998,0.5063291139240507,0.3540903540903541
I0112,fashion,Pulse,53.68,0.342,0.187,0.43666666666666665,0.07454289732770752,0.19902319902319904
I0113,sports,Nova,36.16,0.528,0.402,0.27444444444444444,0.33614627285513365,0.4615384615384616
I0114,fashion,Nova,33.44,0.752,0.39,0.24925925925925924,0.6511954992967651,0.4468864468864469
I0115,beauty,Nova,29.97,0.788,0.161,0.21712962962962962,0.7018284106891702,0.1672771672771673
I0116,electronics,Aster,59.11,0.622,0.58,0.48694444444444446,0.4683544303797468,0.6788766788766789
I0117,electronics,Pulse,42.8,0.8160000000000001,0.231,0.3359259259259259,0.7412095639943742,0.2527472527472528
I0118,books,Nova,24.81,1.0,0.20500000000000002,0.1693518518518518,0.9999999999999999,0.22100122100122105
I0119,beauty,Pulse,34.0,0.9460000000000001,0.10400000000000001,0.2544444444444444,0.9240506329113923,0.0976800976800977
I0120,electronics,Nova,26.42,0.501,0.108,0.1842592592592593,0.29817158931082977,0.10256410256410256
