item_id,similar_item_id,cooccurrence_score
I0095,I0110,8
I0095,I0011,6
I0095,I0012,6
I0095,I0027,6
I0096,I0003,14
I0096,I0044,13
I0096,I0058,13
I0096,I0009,12
I0096,I0016,11
I0097,I0023,13
I0097,I0051,12
I0097,I0034,11
I0097,I0060,11
I0097,I0065,11
I0098,I0069,11
I0098,I0018,9
I0098,I0084,9
I0098,I0086,9
I0098,I0035,7
I0099,I0065,13
I0099,I0023,11
I0099,I0041,11
I0099,I0051,11
I0099,I0060,11
I0100,I0011,10
I0100,I0024,10
I0100,I0037,10
I0100,I0064,10
I0100,I0066,9
I0101,I0116,12
I0101,I0074,10
I0101,I0102,9
I0101,I0013,8
I0101,I0039,8
I0102,I0073,9
I0102,I0101,9
I0102,I0014,8
I0102,I0116,8
I0102,I0043,7
I0103,I0091,10
I0103,I0017,9
I0103,I0021,9
I0103,I0063,9
I0103,I0115,9
I0104,I0006,11
I0104,I0014,11
I0104,I0116,9
I0104,I0101,8
I0104,I0120,8
I0105,I0084,7
I0105,I0035,6
I0105,I0048,6
I0105,I0076,6
I0105,I0031,5
I0106,I0037,15
I0106,I0064,11
I0106,I0110,11
I0106,I0008,10
I0106,I0024,10
I0107,I0120,9
I0107,I0006,8
I0107,I0068,8
I0107,I0014,7
I0107,I0032,7
I0108,I0063,12
I0108,I0091,10
I0108,I0025,9
I0108,I0017,8
I0108,I0021,7
I0109,I0001,12
I0109,I0044,12
I0109,I0047,12
I0109,I0090,12
I0109,I0016,11
I0110,I0028,13
I0110,I0037,13
I0110,I0066,13
I0110,I0094,12
I0110,I0008,11
I0111,I0055,9
I0111,I0035,7
I0111,I0046,7
I0111,I0048,7
I0111,I0031,6
I0112,I0036,11
I0112,I0051,11
I0112,I0023,10
I0112,I0099,10
I0112,I0041,9
I0113,I0066,8
I0113,I0100,7
I0113,I0110,7
I0113,I0037,6
I0113,I0089,6
I0114,I0051,11
I0114,I0065,11
I0114,I0097,10
I0114,I0060,9
I0114,I0023,8
I0115,I0017,9
I0115,I0103,9
I0115,I0088,8
I0115,I0019,7
I0115,I0062,7
I0116,I0101,12
I0116,I0074,11
I0116,I0013,10
I0116,I0072,10
I0116,I0006,9
I0117,I0006,8
I0117,I0032,7
I0117,I0039,7
I0117,I0068,7
I0117,I0074,7
I0118,I0084,9
I0118,I0086,8
I0118,I0018,7
I0118,I0035,7
I0118,I0056,7
I0119,I0078,8
I0119,I0088,8
I0119,I0091,8
I0119,I0017,7
I0119,I0103,7
I0120,I0107,9
I0120,I0014,8
I0120,I0043,8
I0120,I0104,8
I0120,I0053,7
